"Complete POSIX Signal Manager Chapter","RTEMS has permission to use information from the <a href=""http://www.opengroup.org/"">Open Group's</a> Single UNIX Specification in our <a href=""http://www.rtems.org/onlinedocs/doc-current/share/rtems/html/"">RTEMS POSIX API User's Guide</a>. Each of the chapters in this manual is incomplete to a greater or lesser extent. The document is written in texinfo. This task consists of completing a chapter using the corresponding information available from the Open Group's site.  Mentor will provide proper citation information to acknowledge Open Group.. ",96,"joel_sherrill","Medium","Documentation",
"Complete POSIX Thread Manager Chapter","RTEMS has permission to use information from the <a href=""http://www.opengroup.org/"">Open Group's</a> Single UNIX Specification in our <a href=""http://www.rtems.org/onlinedocs/doc-current/share/rtems/html/"">RTEMS POSIX API User's Guide</a>. Each of the chapters in this manual is incomplete to a greater or lesser extent. The document is written in texinfo. This task consists of completing a chapter using the corresponding information available from the Open Group's site.  Mentor will provide proper citation information to acknowledge Open Group.. ",96,"joel_sherrill","Medium","Documentation",
"Create Presentation on RTEMS (Pres #1)","This task consists of creating a presentation in either PowerPoint or OpenOffice Impress on RTEMS which is targeted at persons who would be of the appropriate age for Google Code-In (13-18). The presentation should include speaker notes and be at least 10 minutes in length. ",96,"joel_sherrill","Medium","Outreach",
"Create a New Logo for RTEMS (Logo #1)","This task consists of creating a designing a new logo for RTEMS.   We would like the result to be modifiable in in an open source tool and either a vector graphic or a high resolution bitmapped image.  If the RTEMS developers like it, we can follow this up with another task to produce the graphics in various sizes and with transparency layers.  We will want to be able to use it on web sites, print, t-shirts, stickers, etc.",96,"jenniferaverettoarcorp","Medium","Outreach","graphics, logo"
"Identify Bursts in RTEMS Code Swarm Video","The RTEMS code swarm video is a visualization of coding activity from 1995 to the present based upon our source code revision control system.  When the source code had lots of activity, the video has bursts or explosions of activity.  This task is to identify the dates of bursts of activity along with the time into the video  and given them to the mentor for the explanations.  ",72,"joel_sherrill","Medium","Outreach","video"
"Add Introduction and burst explanations to RTEMS Code Swarm Video","The RTEMS code swarm video is a visualization of coding activity from 1995 to the present based upon our source code revision control system.  This video needs a title introduction added to it as well as subtitle/text overlays when the activity has bursts of activity.  This task is to take a list of bursts (each burst has time into the video, the dates of the activity, and the explanation) and add subtitles explaining the bursts.",120,"joel_sherrill","Hard","Outreach","video editting"
"Prepare an RTEMS Marketing Video (Video #1)","This task consists of creating a designing and creating a marking video (e.g. Commercial) for RTEMS. We would prefer the editting software be open source but will accept any design program.  The video itself should be in OGG or MP4. ",120,"jenniferaverettoarcorp","Medium","Outreach","graphics, logo"
"Design an RTEMS T-Shirt (T-Shirt #1)","This task consists of creating a designing a t-shirt design for RTEMS. We would like the result to be modifiable in in an open source tool and either a vector graphic or a high resolution bitmapped image. If the RTEMS developers like it, we can follow this up with another task to produce the graphics in various sizes and with transparency layers. We will want to be able to use it on web sites, print, t-shirts, etc. ",120,"jenniferaverettoarcorp","Medium","Outreach","graphics, logo"
"Create Getting Started for your Peers","As a project, we try to make RTEMS approachable for new comers. Help us by making our existing getting started howto's even easier. There is a Getting Started manual (<a href=""http://rtems.org/onlinedocs/doc-current/share/rtems/html/started/index.html"">HTML</a>) and a number of wiki pages. But they are written by people who are familiar with RTEMS and how to install it. Review one of the Getting Started documents and give us guidance. ",120,"joel_sherrill","Medium","Outreach",
"Test Coverage HTML Improvements (Cover #1)","This task consists of modifying the existing Bourne shell script that generates the primary table of results per target.  The  tables are not dynamic HTML.  They cannot be filtered or sorted.  The tables which show an individual test run results have this feature.   An example of the current static table can be found in the <a href=""http://www.rtems.org/ftp/pub/rtems/people/joel/coverage/erc32.html#OsPD"">erc32 coverage results</a>.  The tables in any of the individual coverage runs contains a table that is dynamic.  This is the model for how the currently static table should work. The scripts that generate this are available in the rtems-testing CVS module.  Ask for help in getting the script and some test data",96,"joel_sherrill","Medium","User Interface","html, web"
